,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,115.221441030502,0,9.04697594469599,24.9387304010594
1,171.499125957489,5,27.0790394426554,31.1960494650488
2,171.50773859024,0,0,0
3,242.154267787933,0,7.91019018335049,43.2988463383757
4,207.842059850693,3,20.0980885196669,35.7289399822169
5,108.046459197998,1,11.9085366084009,24.1218934885948
6,297.749108314514,1,13.8095320403324,46.8945796446054
7,128.996368408203,3,15.3670742923449,26.5861694526235
8,,,,
9,119.116575717926,1,8.0872806016151,25.9924953085781
10,119.120035886765,0,0,0
11,136.094441175461,0,4.66432517212006,26.9401921333958
12,136.107238054276,0,4.66388662965286,26.9401921333958
PROMEDIO,254.087237394773,1.76923076923077,10.8116150789478,29.8869707209013
