,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,123.7143325805664,1.0,21.292877803223277,25.78751299073052
1,123.72677254676819,0.0,0.0,0.0
2,237.49315214157104,9.0,32.58903927289661,43.25418813334557
3,127.15727734565735,0.0,23.23860523742322,0.0
4,298.64800548553467,3.0,11.949662577938089,51.048161898245525
5,298.65668416023254,0.0,0.0,0.0
6,133.46000814437866,1.0,4.606396728284188,27.326526770729576
7,398.57562494277954,3.0,8.999639932430986,61.206456694877836
8,139.75369119644165,1.0,10.603623799128425,27.880112797629902
9,225.29309630393982,3.0,15.702247913213952,39.38629568380586
10,130.37069177627563,1.0,19.438459140263106,27.685756100237395
PROMEDIO,203.34993969310415,2.0,13.492777491345619,27.597728279054742
