,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,96.7523574829102,0,2.82904165705623,24.5046824896193
1,103.700744152069,0,1.28031030776178,26.6274694526608
2,319.747864484787,0,0.775229879602988,35.4499196991113
3,103.297229766846,0,1.68752902875979,26.5318211229256
4,96.0792565345764,0,2.76379422084079,24.8221489524597
5,103.073650836945,0,1.45550902118088,26.4807084551322
6,97.1642425060272,0,2.62025717454308,24.8109103077023
7,103.42734837532,0,1.39675214671721,26.5969651960571
8,96.6134853363037,0,2.65293201778341,24.9041526051194
9,102.615362405777,0,1.05225295932546,26.5283286715742
PROMEDIO,102.844506621361,0,1.57151902497033,26.5045185633532
