#{"t_start": 1690330778.5383134, "env_id": null}
r,l,t
221.747363,85,572.288255
115.049892,8,572.454878
161.439176,201,575.896168
147.525926,60,576.93858
95.675989,201,580.333055
112.480381,12,580.565552
127.082453,15,580.850691
112.555811,8,581.016393
215.810504,93,582.595979
214.389183,70,583.811848
170.290285,44,584.576745
178.023355,49,585.424076
181.340691,54,586.372826
123.760634,19,586.704789
17.432159,201,590.189821
131.790133,18,590.526888
182.540495,54,591.457699
111.501751,10,591.689428
116.132188,201,595.099835
150.081176,38,595.76807
204.215982,78,597.09744
143.090433,201,600.477958
250.465449,95,602.172141
268.356406,99,603.901229
112.348228,201,607.333531
147.163498,32,607.898818
178.240545,149,610.46791
279.83808,193,613.702277
130.534244,29,614.211545
263.68458,110,616.08668
81.297641,201,619.579654
237.184905,96,621.254114
245.767586,201,624.684043
181.992643,71,625.948891
91.225934,201,629.36819
157.523385,33,629.943821
187.639405,201,633.45318
192.45086,71,634.66582
142.17618,201,638.07194
83.872478,201,641.501101
154.987139,33,642.087989
40.243624,85,643.558341
193.425176,51,644.44031
122.723739,201,647.820114
97.863162,201,651.351755
54.072332,201,654.697475
57.315935,201,658.095752
175.872064,71,659.303436
33.727288,201,662.746762
47.938576,201,666.141884
-14.749452,201,669.564237
160.997949,35,670.178378
209.858922,72,671.479239
203.978569,63,672.558937
231.297876,90,674.080592
154.940951,32,674.640835
227.873297,121,676.721557
13.992074,201,680.126535
88.275783,201,683.58522
116.03327,18,683.916883
72.669809,201,687.346337
113.759114,15,687.626972
206.872393,154,690.285913
123.494321,16,690.599744
213.502194,66,691.732074
219.54369,138,694.110754
-25.208197,201,697.545413
183.070915,58,698.5446
183.607717,201,701.948036
126.370142,43,702.699286
199.019386,59,703.76648
75.478649,201,707.157226
203.143155,64,708.255247
284.454981,105,710.156192
32.832856,201,713.611988
86.517799,201,717.053534
204.414238,93,718.695348
3.461986,201,722.326951
132.218163,21,722.709352
72.133896,201,726.12332
64.604013,201,729.556849
99.279572,201,732.957962
76.335651,201,736.377429
136.660149,20,736.741692
123.846017,34,737.338602
197.057979,59,738.346668
234.032837,115,740.323557
295.767174,120,742.352248
117.601273,201,745.786821
156.361431,43,746.535162
50.869585,201,749.923875
75.034165,201,753.423469
216.595462,65,754.590582
251.077517,117,756.574138
153.591639,49,757.420339
205.966633,89,758.967697
215.652399,68,760.1265
148.051352,32,760.705152
207.850352,68,761.867544
209.048765,76,763.18493
163.428235,39,763.867247
219.089387,87,765.37537
303.034732,138,767.770674
202.188042,61,768.831062
176.425907,60,769.972833
163.910732,38,770.685541
187.724093,80,772.039147
121.17696,17,772.353855
263.019317,126,774.503854
298.827849,172,777.39324
159.248145,34,778.008701
113.017041,45,778.788167
52.912968,201,782.244429
204.196835,78,783.570271
252.990436,88,785.058078
222.222824,75,786.358442
173.988257,56,787.321921
83.593302,201,790.755641
162.919529,39,791.438437
208.886484,70,792.629992
278.857904,110,794.490423
103.405197,201,797.906295
151.44203,33,798.492087
42.19059,201,802.034295
183.558633,69,803.241243
79.902442,201,806.654107
162.950695,38,807.338105
-11.292839,201,810.750879
102.683337,201,814.231732
189.599924,77,815.549765
-461.598321,201,818.938597
196.759373,73,820.204559
259.169711,87,821.676847
247.585567,88,823.195371
43.159243,201,826.595799
199.742885,63,827.669339
209.049375,81,829.087365
96.057912,201,832.639172
171.696012,45,833.436122
166.349383,41,834.17582
205.113022,99,835.927334
159.487141,37,836.584419
202.635378,62,837.69178
243.733887,88,839.200953
7.550125,201,842.620757
104.478797,3,842.707481
136.175437,21,843.087225
-82.112043,201,846.494822
208.857075,92,848.072274
40.197752,201,851.467167
165.730442,48,852.29302
201.529431,88,853.808667
229.59394,111,855.665085
160.124333,201,859.048281
246.806411,89,860.668282
267.930094,201,864.063028
190.169729,60,865.112079
161.656014,131,867.320285
344.981017,179,870.339734
196.995413,201,873.795783
