,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,101.799855947495,1,11.46503733084,25.9098160517788,0
1,126.69558429718,3,11.2796840441392,26.2061519733569,0
2,87.7120652198792,1,6.07056002822314,26.2798763953021,0
3,87.8543825149536,1,7.25799452654071,26.1668921801151,0
4,90.1389675140381,1,8.5977927508453,27.0382232122067,0
5,118.544011116028,2,23.49046424323,24.5862248734782,0
6,101.005651712418,1,13.1742206070695,25.4720142299445,0
7,111.646824121475,4,28.5662985899434,28.7936387366416,0
8,85.3986821174622,1,6.27765666789416,25.8578753167565,0
9,96.0240981578827,0,14.3161910051956,25.4018539219878,0
PROMEDIO,100.682012271881,1.5,13.0495899793921,26.1712566891568,0
