,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,133.91356420517,2,17.5322796294802,29.2706419351943,0
1,146.455519914627,6,26.4341182324663,30.2586432914703,0
2,86.9437777996063,0,5.62247257705615,26.7324727155092,0
3,107.3499751091,1,10.0812799884724,27.2540624741094,0
4,122.156626224518,3,14.2107941855941,32.4919271960094,0
5,94.0181541442871,1,12.9958673808781,27.910425237375,0
6,84.3271696567535,1,10.522657331963,46.9961293623268,0
8,91.7936010360718,1,13.2732491176054,26.8085736562356,0
9,95.9105367660522,4,32.4409032731767,26.8950129568852,0
10,111.349722623825,3,263.857109366506,48.3641212688846,0
PROMEDIO,101.630255937576,2.11111111111111,15.9015135240769,30.5130987583461,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,160.270913613558,,,,
