,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
1,369.133515834808,0,0,38.9119000440259,0
2,405.699458360672,1,6.20268158778201,44.311235818578,0
3,490.282581806183,1,3.0997169796522,39.4738303582196,0
4,274.240777254105,2,29.0205886856748,28.3040804049165,0
5,363.434410810471,2,27.6738375386842,30.3715554827267,0
6,324.206913232803,1,13.0055941211609,31.8656155761973,0
7,345.310571670532,1,38.1248661603401,30.8638696677209,0
8,340.603232383728,3,37.9750744351,29.274767592636,0
9,385.21951675415,0,21.2858969508576,27.919511333089,0
PROMEDIO,366.458997567495,1.22222222222222,19.5986951621391,33.4773740309011,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,0.24,,,,
,,,,,
,162.870665585553,,,,
