,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,120.200949668884,0,0,28.0646539608134
1,119.405123710632,3,13.3705389994247,26.1211851896945
2,119.413379907608,0,0,0
3,155.737369298935,2,18.9592286488886,33.8915036295504
4,120.91478228569,1,7.9198220033465,26.829697825734
5,96.4241797924042,0,5.79386900289866,24.1664660094331
6,134.97497344017,2,19.8763153234114,29.1620085723646
7,188.266937255859,2,8.97141715036526,39.2662939819853
8,173.281049251556,3,10.4260966333104,35.9317504634077
9,124.663334369659,0,0,29.0771693004436
PROMEDIO,135.32820789814,1.3,8.53172877616454,27.2510728933427
