,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,113.13149023056,1,9.60626823080963,26.691669609524
1,113.143293857574,1,9.6052660608769,26.691669609524
2,112.298558712006,0,9.65022942594604,25.0487031728644
3,114.705280542374,2,14.0880255370585,26.0996772797131
4,114.71620798111,0,0,0
5,132.1316010952,0,17.6618271036301,27.1029563160055
6,98.7648105621338,0,7.70584133760503,24.1182955748605
7,258.051458597183,3,19.6810631577317,43.2657066584644
8,100.954640626907,0,2.68397999253027,24.3015166535557
9,100.964731216431,0,0,0
10,112.492810249329,2,16.4237723356428,24.845474116914
11,112.501259326935,0,0,0
12,111.261368274689,1,9.83541516022057,26.0798534295193
13,123.134660243988,2,15.9483364614559,25.9930836398976
14,123.147745609283,2,15.9466418319082,25.9930836398976
PROMEDIO,122.759994475047,0.933333333333333,9.92244444236104,21.7487793133827
