,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,92.898,0,10.8526493135665,32.2846301026508
1,86.839,2,11.773551685079,32.6723931909475
2,78.194,1,12.7712363132288,29.0428411819762
3,68.232,0,2.84206428342218,26.4147458273613
4,77.3320000000001,1,12.3641938348789,29.368973984641
5,68.2339999999999,0,7.7143029786185,26.3305699109184
6,78.2679999999999,1,12.3622074206154,29.3161942834993
7,95.194,0,12.1859466563474,33.2076756918919
8,69.82,0,7.29753649429413,26.7076429059126
9,107.1,3,36.3820894759576,38.0588474734999
10,107.915, ,36.1073231976561,38.1935477142846
PROMEDIO,84.5478181818182,0.8,14.7866456048786,31.054369297053
