,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,161.706019878387,2,5.80298492074402,34.0753852816697
1,127.745615243912,2,17.6376859263326,27.3060532032016
2,127.755853414536,0,0,0
3,101.493932962418,1,7.39528812891631,25.3478795897823
4,123.08968091011,1,18.4065923045539,28.6532645441123
5,114.040199041367,2,7.00336774854079,27.2179395323568
6,125.808760643005,2,15.8901135397564,28.3496675520784
7,125.81134223938,0,0,0
8,108.160085678101,2,6.82075050300197,26.6483050510394
PROMEDIO,123.956832223468,1.55555555555556,8.77297589687178,21.9553883060267
