,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,79.765,2,21.1271677451814,29.5318699804394
1,85.5,3,23.8688061808982,30.9364206434527
2,94.366,2,19.6464698473282,33.7288049597926
3,64.771,1,26.9002259661966,25.5781623658209
4,81.192,1,30.4042100788913,28.6000593430885
5,75.632,1,5.11214203276694,28.2778405422957
6,95.331,2,26.2480931243479,35.6071906156778
7,113.647,2,33.0325902555701,39.7049574781274
8,145.39,4,25.4873434429246,39.5326765271907
9,79.4009999999998,0,6.21747977187029,30.1211971534963
PROMEDIO,91.4995,1.9,21.8044528445976,32.1619179609382
