#{"t_start": 1682629822.210467, "env_id": null}
r,l,t
100.399998,148,588.345233
95.799998,84,589.758399
99.499998,61,590.83232
98.399998,50,591.67865
101.099998,158,594.372438
100.399998,79,595.750844
-2.1,201,599.197222
99.199998,118,601.20334
100.899998,54,602.112113
102.799999,148,604.634737
100.999998,55,605.595521
100.599998,111,607.448697
104.899999,121,609.501029
102.399999,102,611.240455
-103.000002,201,614.696573
100.199998,146,617.171779
99.499998,115,619.13779
99.999998,93,620.727048
102.699999,42,621.45552
99.399998,45,622.222335
103.999999,82,623.630525
102.399999,78,624.942262
101.499998,117,626.934965
101.899999,91,628.505246
100.499998,62,629.599097
102.599999,128,631.77263
100.099998,28,632.252391
105.899999,116,634.21624
100.299998,12,634.431377
106.999999,121,636.486548
102.999999,78,637.794824
101.799998,60,638.871845
104.199999,123,640.95851
100.399998,142,643.363501
99.599998,137,645.67903
99.999998,132,647.971964
99.799998,172,650.887536
101.299998,148,653.391886
102.099999,30,653.933498
-7.3,30,654.446659
101.099998,53,655.357745
101.299998,130,657.555873
-15.3,34,658.164508
98.899998,40,658.851267
99.599998,65,659.93894
100.499998,23,660.364964
101.299998,166,663.163156
103.299999,60,664.180745
101.599998,22,664.5967
98.899998,55,665.525869
100.399998,76,666.838527
-5.999999,126,668.98477
106.899999,93,670.538903
-5.4,201,673.973511
103.599999,75,675.236634
99.299998,17,675.570406
104.800003,90,677.078669
0.9,201,680.504059
98.799998,27,680.965114
-8.3,110,682.846881
99.799998,91,684.397154
99.999998,63,685.450862
97.099998,49,686.315296
100.499998,29,686.811553
102.499999,34,687.388962
99.599998,74,688.655928
96.799998,64,689.739788
100.099998,103,691.490388
98.599998,76,692.802283
100.299998,3,692.868598
98.499998,21,693.237988
-1.399998,166,696.045356
103.300003,141,698.472655
101.699998,74,699.770013
99.199998,145,702.24925
98.499998,90,703.793636
98.199998,99,705.457195
95.999998,59,706.48343
101.199998,51,707.346358
99.399998,189,710.622215
104.099999,98,712.263358
99.699998,132,714.521924
100.599998,36,715.186858
101.699998,77,716.482938
100.799998,44,717.263663
100.899998,66,718.378685
103.199999,119,720.383094
99.699998,24,720.799976
103.999999,64,721.92807
102.399999,30,722.442377
102.999999,111,724.374435
101.899999,109,726.282285
99.099998,27,726.747909
105.099999,75,728.060241
-5.6,50,728.902562
101.799998,63,729.969509
102.599999,83,731.412494
106.099999,109,733.291251
102.299999,146,735.771232
102.899999,89,737.298258
103.599999,78,738.598264
105.199999,100,740.330584
106.899999,108,742.199337
100.699998,7,742.329605
-3.600003,48,743.142152
99.899998,32,743.735939
103.699999,73,744.96265
103.899999,123,747.048788
104.599999,70,748.24122
102.299999,53,749.137154
102.199999,34,749.735774
103.499999,56,750.717441
101.599998,76,751.991234
101.299998,49,752.851372
101.899999,55,753.782465
101.199998,60,754.826435
103.699999,40,755.51166
-107.899997,87,757.006987
100.199998,38,757.652962
101.299998,22,758.035775
105.699999,96,759.669311
102.599999,77,760.996151
102.399999,108,762.79334
103.999999,64,763.920382
99.899998,68,765.053726
102.899999,140,767.462231
103.199999,74,768.70332
100.299998,21,769.059706
102.799999,31,769.59347
100.899998,45,770.385351
104.199999,45,771.147143
99.799998,160,773.845846
104.499999,93,775.454069
6.900002,99,777.146417
99.300003,38,777.791631
104.899999,85,779.271578
100.199998,29,779.770806
96.199998,61,780.835041
-3.6,79,782.165617
100.899998,45,782.976231
99.399998,192,786.209978
99.499998,73,787.468894
1.100002,41,788.167957
-3.9,94,789.787364
101.999999,23,790.181445
-5.7,130,792.398356
-1.199998,69,793.553023
97.499998,44,794.335498
101.999999,35,794.933224
-6.9,85,796.396883
102.999999,108,798.230438
101.199998,63,799.285019
100.899998,54,800.19069
108.899999,107,802.010669
-10.9,12,802.225188
101.499998,66,803.369089
104.499999,105,805.174624
-95.0,137,807.500538
100.099998,58,808.48608
104.799999,81,809.883895
101.599998,25,810.3152
103.099999,61,811.390711
105.599999,92,812.937016
103.899999,87,814.445431
105.699999,105,816.239535
105.099999,87,817.695115
106.099999,91,819.265865
101.499998,75,820.568663
102.699999,93,822.122834
-8.9,50,822.995903
103.099999,70,824.161438
101.499998,36,824.80977
104.099999,68,825.947974
101.499998,78,827.289315
103.899999,114,829.232006
97.999998,91,830.758698
102.299999,149,833.314638
100.199998,107,835.106773
99.599998,86,836.603151
100.999998,64,837.709379
102.299999,26,838.154464
99.299998,26,838.60793
-8.4,61,839.670355
103.499999,59,840.66491
100.599998,60,841.677772
101.899999,115,843.626012
-9.5,8,843.775899
100.799998,65,844.905715
-6.8,113,846.824138
98.599998,112,848.728002
100.299998,9,848.890319
104.199999,90,850.393202
96.599998,170,853.289921
99.799998,97,854.953149
99.999998,69,856.118713
101.799998,78,857.465714
100.799998,47,858.254107
99.899998,41,858.957064
97.999998,40,859.664888
99.799998,103,861.39036
-98.099995,190,864.620364
98.599998,28,865.100739
105.499999,85,866.548241
105.099999,147,869.048103
-11.7,13,869.276245
101.899999,43,870.0036
99.699998,69,871.213829
100.999998,46,872.001813
100.299998,75,873.28696
98.299998,43,874.018658
101.499998,75,875.324716
99.199998,76,876.59102
99.199998,127,878.755084
-11.6,14,879.03883
-7.3,75,880.299621
101.499998,60,881.361047
99.299998,44,882.10809
100.599998,45,882.869533
101.299998,82,884.294232
100.099998,31,884.82601
104.500003,123,886.923463
105.999999,174,889.853092
101.599998,61,890.907098
103.299999,96,892.545909
95.999998,101,894.270854
-7.4,122,896.310784
94.499998,146,898.792123
99.499998,52,899.669534
100.499998,128,901.836981
99.999998,105,903.620153
-11.0,8,903.769829
99.599998,104,905.527974
100.599998,75,906.795885
100.399998,37,907.473892
101.499998,66,908.586473
102.299999,122,910.674309
98.599998,61,911.724318
100.499998,107,913.520521
97.399998,25,913.98509
100.099998,82,915.36034
100.899998,69,916.555524
104.099999,95,918.144111
98.499998,45,918.934759
97.899998,153,921.539313
98.799998,99,923.236624
94.999998,193,926.463039
99.700003,93,928.051592
103.599999,39,928.707335
-10.1,2,928.757678
102.999999,33,929.361397
98.499998,54,930.269255
93.699998,111,932.162372
98.099998,38,932.803093
101.899999,55,933.759423
99.199998,115,935.723094
99.299998,23,936.117054
102.499999,133,938.35929
98.299998,13,938.592484
102.399999,96,940.236579
94.199998,95,941.821482
99.199998,22,942.256018
101.599998,79,943.588051
97.499998,74,944.860054
99.199998,70,946.038401
-1.999999,70,947.24743
96.199998,67,948.377174
98.399998,68,949.551512
99.599998,89,951.072636
-11.9,131,953.306351
100.499998,53,954.19215
100.399998,118,956.192573
101.399998,104,957.974605
102.999999,156,960.609751
101.099998,26,961.060216
98.899998,64,962.187882
101.199998,42,962.898694
102.599999,41,963.594056
100.199998,32,964.194257
102.199999,34,964.774867
100.799998,38,965.419132
100.999998,79,966.783191
98.999998,32,967.328651
99.199998,34,967.911812
102.699999,33,968.475308
98.999998,41,969.207544
102.999999,54,970.117334
97.099998,94,971.723263
-208.999993,115,973.683845
99.999998,48,974.500144
98.499998,33,975.061513
103.000003,96,976.704689
-8.7,70,977.90861
100.699998,10,978.08875
102.999999,69,979.24357
99.399998,99,980.951868
100.799998,50,981.828349
98.299998,133,984.084506
101.199998,69,985.24457
102.999999,156,987.878716
104.599999,127,990.052852
103.999999,97,991.709768
-8.2,60,992.757153
99.199998,91,994.285015
102.899999,50,995.163068
102.999999,69,996.325493
103.599999,102,998.057443
98.299998,139,1000.407761
101.599998,79,1001.772064
101.099998,56,1002.711812
98.699998,23,1003.107568
100.199998,2,1003.157452
103.199999,86,1004.651174
97.699998,37,1005.278254
102.099999,81,1006.672737
97.999998,34,1007.251193
103.399999,100,1008.956681
99.299998,44,1009.693182
105.200003,91,1011.243199
-11.0,8,1011.390672
100.399998,91,1012.947503
103.599999,72,1014.159349
98.299998,31,1014.723222
102.599999,59,1015.72419
106.299999,105,1017.517095
104.799999,132,1019.755845
98.099998,77,1021.075608
102.999999,96,1022.683794
98.399998,74,1023.94555
100.000003,63,1025.007612
101.599998,49,1025.862882
101.999999,74,1027.101585
103.499999,50,1027.976413
99.899998,29,1028.472577
-9.5,5,1028.572406
101.299998,85,1030.035038
104.899999,85,1031.446861
102.999999,84,1032.901778
103.599999,138,1035.229608
101.799998,90,1036.764024
97.499998,44,1037.510151
104.399999,50,1038.356521
99.199998,37,1039.027422
100.599998,54,1039.943225
103.699999,112,1041.86587
99.499998,58,1042.876453
100.699998,13,1043.111041
101.999999,59,1044.109672
103.399999,115,1046.083752
102.999999,78,1047.427
99.999998,66,1048.562074
101.999999,59,1049.590983
100.499998,47,1050.387803
104.799999,96,1052.042831
-9.9,25,1052.479168
102.299999,47,1053.26973
101.999999,80,1054.671295
99.399998,27,1055.129479
104.999999,83,1056.576035
99.199998,43,1057.304699
100.899998,42,1058.012724
101.599998,37,1058.686796
105.300003,134,1060.973173
100.199998,53,1061.865201
104.999999,107,1063.716686
103.999999,94,1065.320301
105.099999,114,1067.291592
102.599999,62,1068.335867
104.099999,101,1070.058997
102.999999,99,1071.748072
104.999999,86,1073.192241
99.499998,46,1074.026535
98.899998,52,1074.903646
98.999998,56,1075.883381
102.199999,52,1076.761011
105.700003,90,1078.319367
4.200002,144,1080.761059
103.699999,76,1082.041472
102.999999,42,1082.793517
102.299999,62,1083.830434
100.299998,39,1084.490355
99.499998,49,1085.348226
100.799998,56,1086.293588
101.399998,47,1087.117445
99.699998,51,1087.975685
101.899999,55,1088.902685
100.699998,55,1089.883307
99.299998,62,1090.930268
99.599998,44,1091.725556
100.999998,13,1091.957786
101.799998,87,1093.451442
101.199998,24,1093.866793
-10.9,15,1094.131907
-7.8,79,1095.459962
103.299999,75,1096.750343
101.400003,50,1097.59577
102.699999,30,1098.143157
100.599998,30,1098.655386
99.599998,83,1100.096611
105.999999,96,1101.701656
99.299998,38,1102.377755
104.999999,65,1103.46928
100.499998,59,1104.496769
100.699998,43,1105.223102
99.199998,37,1105.846562
101.699998,29,1106.34885
104.099999,74,1107.622397
105.299999,107,1109.465056
104.699999,164,1112.21667
-10.1,2,1112.266943
102.599999,47,1113.059675
102.999999,66,1114.216848
-7.8,22,1114.597449
101.199998,102,1116.337135
99.999998,117,1118.328743
100.399998,22,1118.71091
103.999999,76,1120.029176
100.799998,47,1120.830234
101.199998,15,1121.094958
101.099998,59,1122.117253
102.699999,72,1123.328233
103.999999,151,1125.877997
-11.5,12,1126.096616
101.499998,78,1127.455067
-5.1,118,1129.479376
101.499998,75,1130.771423
101.699998,74,1132.014085
98.899998,43,1132.748362
3.799997,71,1133.979476
100.199998,23,1134.380743
100.999998,58,1135.393535
100.399998,88,1136.874242
99.099998,21,1137.271616
103.399999,58,1138.248192
100.699998,64,1139.312423
99.499998,34,1139.922045
101.699998,80,1141.26052
103.099999,58,1142.263754
101.299998,91,1143.85848
102.599999,41,1144.556367
102.299999,59,1145.543675
100.899998,72,1146.783247
102.099999,99,1148.477598
105.599999,83,1149.871074
97.999998,25,1150.302735
101.799998,30,1150.866582
102.299999,101,1152.589761
-12.0,16,1152.871679
99.499998,46,1153.644823
-4.7,95,1155.274934
99.399998,54,1156.186129
101.499998,84,1157.624782
105.399999,102,1159.366472
103.799999,83,1160.756624
102.699999,81,1162.147488
-4.9,150,1164.694235
100.399998,100,1166.393087
101.999999,122,1168.462716
99.899998,23,1168.86039
102.399999,108,1170.696217
104.199999,78,1172.010593
100.299998,96,1173.648824
104.999999,95,1175.280392
99.799998,43,1176.000273
102.599999,98,1177.696829
100.999998,85,1179.157943
102.099999,36,1179.777588
104.199999,135,1182.063809
102.199999,121,1184.1183
-1.299998,131,1186.345104
104.599999,142,1188.773109
98.099998,116,1190.736404
98.199998,57,1191.701646
99.599998,44,1192.477765
100.899998,66,1193.567568
-108.199997,51,1194.466534
4.800002,54,1195.378925
104.299999,79,1196.733085
101.799998,75,1197.984421
-0.299998,120,1200.02722
106.899999,102,1201.902805
105.199999,145,1204.364662
102.299999,122,1206.450411
97.999998,115,1208.413808
98.499998,105,1210.209625
101.999999,122,1212.28316
102.999999,75,1213.547527
0.200002,38,1214.227503
103.599999,99,1215.878986
107.699999,80,1217.259267
-10.6,27,1217.723635
100.999998,55,1218.724482
102.399999,123,1220.808958
103.599999,120,1222.86639
-10.4,5,1222.965631
101.699998,80,1224.320778
-11.0,8,1224.465626
102.999999,45,1225.295843
105.699999,93,1226.856556
102.199999,139,1229.249441
-0.999999,105,1231.004715
99.499998,55,1231.999819
100.599998,30,1232.509212
98.999998,38,1233.152376
101.899999,52,1234.084221
98.599998,52,1234.963255
101.899999,52,1235.87655
103.999999,58,1236.853831
102.599999,95,1238.482076
104.499999,135,1240.769138
-9.2,8,1240.917819
99.899998,23,1241.317471
101.799998,87,1242.811526
105.199999,79,1244.131068
103.599999,78,1245.476705
98.799998,81,1246.860397
105.299999,95,1248.441355
101.699998,71,1249.667073
105.699999,57,1250.627899
-1.500003,45,1251.417898
100.499998,47,1252.213221
99.599998,41,1252.912204
100.399998,61,1253.968935
99.199998,34,1254.548666
102.599999,53,1255.478884
104.199999,69,1256.640957
99.499998,112,1258.551561
98.899998,91,1260.113808
103.599999,105,1261.870675
102.799999,118,1263.876915
103.999999,91,1265.438365
101.399998,56,1266.412894
103.799999,83,1267.813097
99.999998,15,1268.076625
102.799999,106,1269.89472
98.999998,32,1270.44049
99.899998,143,1272.851791
97.899998,69,1274.049919
102.899999,53,1274.944355
98.499998,105,1276.731818
99.499998,31,1277.263365
-8.1,201,1280.679888
98.799998,45,1281.449472
98.099998,17,1281.79264
98.099998,98,1283.427251
100.400003,136,1285.731807
100.099998,37,1286.395284
100.199998,47,1287.19413
101.899999,52,1288.068664
97.399998,133,1290.317522
103.299999,75,1291.611974
101.099998,14,1291.856688
97.699998,49,1292.717801
103.999999,100,1294.398972
-106.299997,201,1297.798671
-102.999997,201,1301.176791
101.999999,131,1303.452026
-9.2,14,1303.696504
99.699998,123,1305.801104
105.799999,139,1308.153093
4.400002,104,1309.895781
101.499998,87,1311.386548
100.599998,33,1311.951952
100.799998,8,1312.102231
99.599998,38,1312.78267
99.899998,74,1314.02133
98.399998,29,1314.55024
102.699999,72,1315.764289
104.199999,144,1318.20787
-9.9,34,1318.819244
100.799998,62,1319.867373
101.999999,47,1320.666506
100.699998,130,1322.877263
104.399999,119,1324.884316
100.599998,60,1325.92481
99.899998,101,1327.644947
-3.100003,98,1329.28648
103.899999,105,1331.075497
100.299998,3,1331.142436
98.799998,69,1332.337569
101.199998,123,1334.417558
100.699998,61,1335.443451
97.399998,94,1337.045709
100.099998,49,1337.876642
101.099998,65,1339.019566
100.299998,168,1341.878155
99.399998,186,1345.043896
98.099998,110,1346.885896
101.499998,54,1347.835233
97.599998,63,1348.899668
100.599998,24,1349.346352
99.499998,124,1351.414671
103.199999,104,1353.19071
-12.0,49,1354.047867
99.099998,60,1355.060274
100.199998,92,1356.626958
99.599998,140,1359.02154
102.299999,143,1361.463728
98.299998,94,1363.085583
100.899998,132,1365.337957
103.999999,94,1366.969702
105.699999,153,1369.568506
-8.8,12,1369.784629
100.499998,80,1371.130803
103.799999,68,1372.310225
102.399999,33,1372.876633
-3.3,94,1374.485039
101.999999,95,1376.120298
-10.4,8,1376.269015
98.499998,63,1377.326209
102.899999,74,1378.611969
100.099998,103,1380.359144
102.499999,28,1380.840524
99.899998,50,1381.680681
102.799999,103,1383.434039
101.299998,88,1384.937427
99.799998,100,1386.63904
-10.6,3,1386.704619
100.999998,94,1388.287072
-9.2,44,1389.06376
99.799998,70,1390.244675
100.399998,7,1390.375489
99.399998,105,1392.170246
100.699998,100,1393.871111
101.199998,78,1395.184649
103.199999,98,1396.853619
101.899999,64,1397.969089
102.999999,78,1399.283864
101.499998,51,1400.201597
100.099998,82,1401.577337
98.999998,92,1403.152371
101.399998,68,1404.33159
101.499998,48,1405.148667
101.899999,40,1405.822009
101.499998,87,1407.313128
105.699999,75,1408.603772
102.199999,85,1410.032341
3.200002,113,1411.964864
108.699999,126,1414.096711
104.299999,121,1416.159957
103.499999,65,1417.29295
101.000003,49,1418.120161
102.699999,54,1419.036311
101.799998,75,1420.335359
101.399998,53,1421.231738
103.799999,131,1423.456262
102.299999,80,1424.838238
105.999999,96,1426.484633
101.899999,61,1427.513869
-7.5,58,1428.529704
100.599998,87,1429.993011
102.499999,43,1430.751972
102.499999,70,1431.921273
105.399999,111,1433.832523
101.899999,25,1434.262567
103.099999,88,1435.7865
103.599999,93,1437.37771
102.199999,22,1437.759736
104.100003,68,1438.8993
100.799998,110,1440.768859
103.599999,78,1442.116777
101.899999,73,1443.38327
100.300003,120,1445.390541
103.499999,59,1446.437446
102.599999,59,1447.438264
100.899998,72,1448.67705
102.399999,69,1449.840792
106.499999,77,1451.170769
101.099998,77,1452.499236
-3.0,94,1454.076545
101.199998,51,1454.972295
106.499999,101,1456.699532
102.299999,68,1457.848827
106.699999,106,1459.678301
102.599999,101,1461.406284
101.799998,57,1462.368493
103.699999,79,1463.734827
99.299998,29,1464.232278
101.499998,63,1465.327497
104.899999,103,1467.055264
106.599999,108,1468.901685
102.999999,72,1470.150973
97.399998,76,1471.431775
103.099999,82,1472.838038
103.099999,73,1474.096886
98.999998,41,1474.791167
-105.999997,85,1476.255033
100.799998,68,1477.401873
106.499999,95,1479.031888
100.599998,54,1479.941819
99.399998,99,1481.651118
102.599999,68,1482.831577
101.999999,89,1484.327444
102.699999,75,1485.619439
101.999999,53,1486.508966
102.099999,75,1487.801356
99.599998,8,1487.949613
4.000002,82,1489.363834
99.400003,42,1490.073847
103.599999,99,1491.764853
103.099999,55,1492.69312
103.299999,66,1493.842083
-7.0,33,1494.405655
100.499998,59,1495.404704
103.199999,89,1496.926598
99.999998,39,1497.589315
-10.6,6,1497.707903
101.599998,76,1499.016624
101.399998,56,1499.981499
104.599999,88,1501.4881
105.499999,97,1503.155966
101.299998,88,1504.635111
99.599998,86,1506.108577
102.099999,72,1507.355872
102.799999,82,1508.73634
104.399999,80,1510.109934
4.800006,102,1511.847953
100.899998,45,1512.605803
0.900002,66,1513.744492
-9.6,4,1513.825709
102.999999,60,1514.833848
103.299999,102,1516.579311
100.199998,65,1517.673565
104.399999,122,1519.752388
100.299998,15,1520.048439
101.399998,47,1520.849954
102.099999,90,1522.395302
100.799998,50,1523.239532
97.599998,75,1524.536707
99.099998,30,1525.055241
102.300003,62,1526.103297
103.999999,58,1527.119739
1.600002,70,1528.300906
-95.599995,143,1530.739427
102.899999,41,1531.47376
103.099999,58,1532.45287
105.600003,113,1534.379397
104.499999,75,1535.672271
99.300003,50,1536.525611
-4.8,109,1538.375535
100.399998,100,1540.072472
104.499999,84,1541.474652
105.199999,121,1543.535887
105.599999,146,1546.003208
7.800002,132,1548.252017
104.599999,58,1549.265301
100.999998,124,1551.377223
102.499999,91,1552.956169
2.100002,48,1553.771963
99.799998,49,1554.603136
99.199998,13,1554.837496
103.799999,152,1557.448443
102.899999,77,1558.74659
98.799998,75,1560.043207
101.499998,93,1561.637521
99.999998,39,1562.305151
101.199998,57,1563.266282
103.299999,90,1564.801541
103.999999,109,1566.656941
101.599998,184,1569.749313
101.399998,59,1570.777327
106.599999,117,1572.768226
103.599999,144,1575.211161
105.199999,82,1576.586842
103.899999,195,1579.908898
108.199999,163,1582.674832
100.399998,67,1583.839073
103.999999,94,1585.421807
106.699999,139,1587.811604
2.7,201,1591.189627
-9.1,81,1592.58404
101.899999,79,1593.907922
104.599999,124,1596.016803
105.299999,65,1597.14582
-4.5,201,1600.518272
104.599999,88,1602.032655
108.699999,123,1604.142052
101.499998,27,1604.609455
98.799998,39,1605.30695
99.699998,45,1606.074257
99.500003,25,1606.505213
101.199998,75,1607.80252
102.099999,126,1609.93978
101.099998,53,1610.838921
103.599999,87,1612.336396
99.199998,37,1612.971553
101.599998,46,1613.749461
103.699999,67,1614.911952
102.099999,63,1615.974015
102.399999,36,1616.61871
101.999999,47,1617.419343
102.899999,41,1618.114176
102.899999,89,1619.633207
99.599998,50,1620.528278
103.999999,52,1621.40755
106.499999,92,1622.987025
102.199999,79,1624.308692
105.199999,106,1626.125612
4.100002,89,1627.65529
97.899998,69,1628.819196
102.699999,75,1630.119335
100.299998,57,1631.085331
102.299999,77,1632.412603
-5.6,80,1633.78865
102.099999,48,1634.6036
101.899999,79,1635.981896
104.099999,74,1637.225314
98.099998,41,1637.923207
104.599999,106,1639.750154
105.899999,89,1641.290656
102.699999,84,1642.734877
102.699999,36,1643.352693
105.299999,74,1644.628393
102.699999,51,1645.489259
105.199999,85,1646.951888
104.399999,83,1648.34174
101.999999,56,1649.325099
100.499998,47,1650.123348
101.799998,60,1651.168882
102.799999,73,1652.397079
100.199998,32,1652.951012
103.499999,50,1653.824412
102.799999,52,1654.710919
104.799999,57,1655.701699
106.999999,85,1657.136227
102.399999,99,1658.823156
101.799998,69,1660.018391
107.399999,104,1661.760434
103.399999,55,1662.721753
101.399998,71,1663.918006
-9.0,13,1664.150851
101.699998,26,1664.628399
103.699999,100,1666.309386
108.599999,110,1668.182328
-9.6,201,1671.588678
102.199999,76,1672.867312
105.699999,117,1674.852679
102.299999,83,1676.285152
99.999998,33,1676.845796
103.499999,65,1677.974491
101.799998,135,1680.272227
100.699998,88,1681.783148
100.599998,6,1681.900086
3.400002,88,1683.376591
100.899998,54,1684.325562
103.099999,61,1685.355418
102.199999,22,1685.737276
103.599999,69,1686.935595
101.499998,18,1687.253108
101.099998,11,1687.452013
106.599999,69,1688.64921
101.599998,70,1689.825503
