,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,75.134,0.0,32.37136365392075,28.55364548406536
1,76.56600000000003,0.0,1.081536812203476,28.519421407346154
2,78.86200000000002,1.0,34.91771148300857,30.466864744941834
3,80.94799999999998,1.0,4.14284267473605,30.769379407295887
4,85.68200000000002,0.0,8.905443423174054,31.029365197226902
5,73.74000000000001,0.0,8.924457158439683,28.474929236586636
6,77.39200000000005,0.0,2.6778249250652113,28.047290581296465
7,78.19999999999993,0.0,15.301077262215006,29.004858798099956
8,80.81399999999996,0.0,1.8707352993049151,29.354817355162165
9,69.64999999999998,1.0,12.087499162574,27.048329296965417
10,70.00300000000004,1.0,12.026546243350689,27.171876759263068
PROMEDIO,76.99918181818181,0.36363636363636365,12.209730736181125,28.949161660749983
