,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,73.10200000000002,0.0,16.476672532793195,27.52132610671466
1,94.46100000000001,0.0,7.775640797112019,33.12561115575193
2,81.63400000000001,3.0,16.880296792247318,30.965106004152062
3,80.63299999999998,0.0,8.225242575290073,29.96168623006429
4,95.86500000000001,2.0,13.291108205969676,33.38554135696938
5,85.29899999999998,0.0,10.794961514954446,31.752803731157446
6,89.23200000000008,1.0,8.616044580327232,32.41169912546427
7,80.43000000000006,1.0,11.086704036452254,30.074572973432474
8,79.10000000000002,1.0,18.580791470977353,29.42735384000636
9,69.53399999999999,1.0,10.885473164059096,26.162162466072296
10,70.02199999999993,1.0,10.809609708230067,26.28754570414764
PROMEDIO,81.75563636363637,0.9090909090909091,12.129322307128428,30.097764426721167
