,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,65.733,1.0,11.801158194180456,24.250658448074073
1,77.53100000000003,1.0,8.417201708557847,26.542513165864133
2,81.13900000000001,3.0,27.441666103008497,27.38249090597331
3,82.96000000000004,4.0,31.662910400729043,24.876983214507156
4,76.39600000000002,0.0,6.16074407329746,27.509122072911918
5,77.76499999999999,1.0,6.33590759314625,26.76175292253033
6,83.20499999999993,0.0,8.987931418351554,27.719193984806715
7,67.85800000000006,1.0,6.189191438723885,24.379380718107786
8,77.27099999999996,0.0,14.549482450512267,27.517269183563492
9,80.78999999999996,2.0,15.877577791947047,26.494893319840703
10,81.23500000000001,2.0,15.79060146256418,26.497732857594293
PROMEDIO,77.44390909090909,1.3636363636363635,13.928579330456227,26.357453708524897
