,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,68.699,0.0,7.550988381748025,25.560825985658415
1,95.40200000000002,1.0,24.204433485386076,28.887073299848566
2,68.86400000000003,1.0,17.61037510123837,25.224008301907134
3,68.86400000000003,0.0,0.0,0.0
4,71.66699999999997,2.0,24.62999786809592,26.43066310963891
5,71.66699999999997,0.0,0.0,0.0
6,75.065,2.0,22.046366387757725,26.519680818256955
7,80.26599999999996,2.0,28.202912917545998,27.350003990999607
8,80.26700000000005,0.0,0.0,0.0
9,88.9029999999999,2.0,39.84773520933758,28.256900462946767
PROMEDIO,76.9664,1.0,16.409280935110967,18.822915596925633
