,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,94.99900000000001,4.0,36.95420164097173,26.462725305640713
1,77.73199999999997,0.0,10.2043694747566,27.02312000518157
2,80.63300000000004,3.0,30.66612189151936,26.352381446125012
3,78.63299999999998,1.0,10.047892428511133,27.4090019308919
4,70.89799999999997,0.0,2.9242930888066994,26.14672099759171
5,86.947,2.0,25.67845534220961,28.01342125630625
6,74.21600000000001,4.0,38.424334071686616,23.685041585215323
7,78.19900000000007,3.0,26.539017211159287,26.177721448589185
8,80.49799999999993,2.0,31.21870136097498,26.108650354578366
9,74.39999999999998,2.0,18.72801908882716,26.069240571083306
10,74.90199999999993,2.0,18.60250220566529,26.071902976256624
PROMEDIO,79.27790909090908,2.090909090909091,22.726173436826226,26.31999344340545
