,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,69.92999999999999,2.0,26.26102539699647,25.620223818948173
1,74.29999999999998,1.0,23.467430035166277,26.07157954718253
2,71.79899999999998,3.0,27.379732739369352,25.960671748326124
3,71.80000000000001,0.0,0.0,0.0
4,73.83599999999996,2.0,20.46895541222049,26.716945063556434
5,72.86199999999997,2.0,26.92996946770801,25.68441634989429
6,75.99900000000002,2.0,23.816129069847243,26.45944470179968
7,74.16499999999996,2.0,20.32748736510956,25.458916843626696
8,74.09899999999993,2.0,21.75057442249817,26.4184535905012
9,73.29900000000009,2.0,16.378263482019747,26.115923586609924
10,71.0329999999999,2.0,22.900263450523454,26.106909650974757
11,71.03499999999997,2.0,22.899618690519194,26.106909650974757
PROMEDIO,72.84641666666664,1.8333333333333333,21.048287460998164,23.89336621269955
