,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,122.353911876678,1,8.54005700217929,31.3618941370394,0
1,184.150491714478,4,15.8473845462376,51.1887191967573,0
2,101.395150899887,1,4.54571649992867,46.303121285341,0
3,102.623785972595,3,26.453002387657,27.0127323033389,0
4,97.2833385467529,1,9.854886149526,46.6213338799984,0
5,126.479180335999,2,9.9707573042761,31.9295893538301,0
6,144.134450674057,4,16.5942097324269,30.1227045353841,0
7,95.5961580276489,3,19.8358936876563,26.9291788752534,0
8,107.724288463593,4,16.6124297795933,46.746069133603,0
9,105.409549474716,4,19.3633785077138,46.6608898083876,0
PROMEDIO,106.566918969155,2.7,14.7617715597195,38.4876232508933,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,168.056031214357,,,,
