,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,142.848819494247,3,15.0038816150593,29.530266736902,0
1,106.280860424042,1,148.226569791142,31.1213911050171,0
2,105.442678928375,0,0,26.3365096728263,0
3,154.871082305908,2,10.3845564586398,26.3365096728263,0
4,84.0697040557861,0,4.09197940401078,25.3085973568003,0
5,79.1590068340302,1,6.772910161671,26.503956454526,0
6,148.282885551453,2,8.06559824164092,34.3869715436647,0
7,122.10195684433,1,3.62561325557625,49.2254245887585,0
8,83.3466770648956,2,851.911374973686,24.4961015614182,0
9,90.5861597061157,2,14.6940199053396,23.6129092518984,0
PROMEDIO,105.861769676209,1.4,9.22507735014037,29.6858637944638,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,166.944010779381,,,,
