,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,392.599193572998,0,16.6662408402503,27.7788168499714,0
1,330.336170196533,3,18.1496339971831,28.6130707909296,0
2,399.853024959564,2,33.3620811831009,26.3215987147226,0
3,426.005704164505,2,16.9152254807727,26.8960184204565,0
4,386.103040456772,1,19.3388173567188,26.2266342871942,0
5,445.238215446472,3,14.2213221852063,28.5530668841138,0
PROMEDIO,396.689224799474,1.83333333333333,19.7755535072054,27.3982009912314,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,176.3063221331,,,,
