,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,388.3285632133484,6.0,38.93925182026809,32.4933456629117,0.0
1,369.13351583480835,0.0,0.0,38.911900044025884,0.0
2,405.699458360672,1.0,6.202681587782012,44.31123581857802,0.0
3,490.28258180618286,1.0,3.0997169796521997,39.47383035821964,0.0
4,331.24584555625916,12.0,51.73384876057942,30.633686100800613,0.0
5,274.2407772541046,4.0,29.020588685674788,28.304080404916512,0.0
6,363.4344108104706,3.0,27.673837538684236,30.371555482726684,0.0
7,324.20691323280334,2.0,13.005594121160913,31.865615576197257,0.0
8,345.3105716705322,1.0,38.12486616034012,30.863869667720927,0.0
9,340.603232383728,3.0,37.97507443509998,29.274767592635982,0.0
10,385.2195167541504,0.0,21.285896950857612,27.919511333088966,0.0
PROMEDIO,365.2459442615509,3.0,24.27830518546358,33.12939982198383,0.0
