,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,82.51999999999998,1.0,19.651435557581305,29.954471037168148
1,103.00600000000003,2.0,20.36318696499046,34.70310063200909
2,82.89300000000003,0.0,5.9742988124481675,30.74996432479977
3,86.64899999999994,1.0,19.593335079592915,30.179479057633582
4,83.73199999999997,1.0,21.59431319750883,28.813722738397544
5,86.71199999999999,0.0,9.375177402867637,30.53311359556077
6,123.298,0.0,20.34136140183518,40.9921882143615
7,156.42600000000004,2.0,24.995057085033395,49.55491676201535
8,84.30000000000007,0.0,5.473079771899381,29.927560584057517
9,85.01400000000001,0.0,5.427113472735292,30.023037336141766
PROMEDIO,97.45500000000001,0.7,15.278835874649257,33.543155428214504
