,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,109.1887195110321,2.0,10.296758013219812,24.722054658979342
1,109.20060658454895,0.0,0.0,0.0
2,228.48266553878784,3.0,11.847406902319744,46.897721261345076
3,104.64170217514038,3.0,25.32676359266256,25.01797704960489
4,208.219411611557,6.0,19.659605367861882,42.20479612310225
5,208.22449254989624,6.0,19.65912564887482,42.20479612310225
6,111.68300437927246,4.0,36.3172865180875,24.628753842533836
7,190.1167607307434,4.0,22.850282231484933,37.331531980542
8,110.49995231628418,2.0,16.053424832367718,26.69135395242878
9,196.36718797683716,2.0,11.372412431433704,43.58924761846315
10,196.37567472457886,0.0,0.0,0.0
11,103.9577579498291,0.0,0.0,0.0
12,1801.2696361541748,204.0,56.70353647859927,199.4783443650254
13,1801.2821493148804,204.0,56.70314257003542,199.4783443650254
PROMEDIO,391.3935515369688,31.428571428571427,20.484981756210523,50.87463723858231
