,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,245.53300000000002,5.0,42.18143239985548,80.06585437699299
1,245.53300000000002,0.0,0.0,0.0
2,159.132,5.0,33.55576664039315,48.03123085665076
3,276.736,6.0,42.28901783147418,92.38636779205761
4,180.86,2.0,32.2627781318851,58.86702986595353
5,93.19799999999998,0.0,13.887000423139888,33.37059247936098
6,157.2650000000001,0.0,27.884457049428768,51.43105367000713
7,231.00800000000004,6.0,50.15447779133768,64.80939962531515
PROMEDIO,198.65812500000004,3.0,30.27686628343928,53.620191083292276
