,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,89.53200000000001,0.0,9.860530890424858,31.56967070839823
1,86.13299999999998,0.0,16.663705686894936,30.856851988658832
2,100.70400000000001,0.0,20.01905615533538,33.63743322145972
3,104.57300000000004,0.0,13.401978383400737,34.04913677282439
4,79.156,0.0,10.002142218342508,28.499487455859995
5,77.93700000000001,0.0,12.606487986088158,29.955048284337522
6,104.32600000000002,1.0,21.652248152865997,35.14233784333367
7,79.8660000000001,0.0,10.148061464256328,30.174869669143757
8,98.5,0.0,13.961461836916541,36.31777011175081
9,89.36599999999999,1.0,23.109718970133212,32.51304246969253
10,89.8789999999999,1.0,22.977816236105504,32.684140480927695
PROMEDIO,90.90654545454547,0.2727272727272727,15.854837089160377,32.309071727853386
