,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,75.49799999999999,1.0,30.90330760442152,27.749556046394492
1,111.59800000000001,1.0,7.224006677101596,31.148875105268075
2,76.83299999999997,1.0,36.04414673028315,27.100571085681153
3,108.83100000000002,2.0,17.25075656343258,31.467644022748775
4,108.83100000000002,0.0,0.0,0.0
5,82.79799999999994,2.0,42.63266655767527,27.85339887669332
6,92.96600000000001,2.0,28.919367341626142,29.61338179451426
7,92.96600000000001,0.0,0.0,0.0
8,72.13300000000004,2.0,17.413649385098015,26.106879578667126
9,92.86699999999996,1.0,19.14603471902319,27.195169743359326
10,92.86800000000005,0.0,0.0,0.0
11,78.96500000000003,1.0,37.714690319122376,27.3235077320373
12,108.89999999999998,2.0,17.13199414059698,32.60644950059437
13,108.89999999999998,2.0,17.13199414059698,32.60644950059437
PROMEDIO,93.21100000000001,1.2142857142857142,19.393758155641272,22.912277356182322
