,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,122.666,4.0,36.546675456434556,39.60016422349795
1,118.608,5.0,38.92727066562611,39.852872336758075
2,88.49099999999999,2.0,20.366208832521334,31.36293675320017
3,108.6339999999999,0.0,3.8317924093018982,41.925747080534386
4,101.197,0.0,16.942098632952426,35.8720286397055
5,125.48599999999999,3.0,23.65036401222292,39.9981249288685
6,97.97500000000002,1.0,17.25265778397747,34.20644853154049
7,109.33500000000015,4.0,22.51141616584732,36.728627746798466
8,112.55999999999995,2.0,24.23787909191217,38.685272337137555
9,87.03099999999995,1.0,15.630822693927266,31.022833064458606
10,87.47199999999998,1.0,15.552018130089438,31.150025902895635
PROMEDIO,105.40499999999999,2.090909090909091,21.404473079528444,36.4004619586723
