,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,64.166,4.0,40.65058807502887,24.8219839482382
1,81.86499999999998,3.0,31.428280306570134,27.932687439510747
2,80.46700000000004,2.0,25.755054786241516,27.211742470757457
3,83.09800000000001,4.0,29.555212654055556,28.08345821603661
4,83.10000000000002,0.0,0.0,0.0
5,69.83100000000002,4.0,44.15996119300402,25.96410313541054
6,78.56700000000001,5.0,44.302735109030735,27.47836222880491
7,93.399,8.0,48.4208593322684,29.01711955129473
8,86.53100000000006,3.0,23.39831245096928,28.997942753248047
9,77.33299999999997,2.0,29.644396014880307,27.24268797044213
10,75.86599999999999,4.0,32.70518722244556,26.278693913246457
PROMEDIO,79.4748181818182,3.5454545454545454,31.820053376772215,24.820798329726347
33335,3.5833333333333335,31.89338350726165,24.942289628353024
