,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,76.333,4.0,37.11208991024396,27.297447405129592
1,74.4,2.0,25.97619448938677,25.779916107486514
2,68.80000000000001,3.0,33.00839662551879,25.12617067535224
3,82.666,6.0,51.86362474543188,26.96138208949391
4,77.26499999999999,4.0,34.74896188492931,27.18403026593413
5,77.267,0.0,0.0,0.0
6,75.49799999999993,2.0,28.3712257457609,26.050971412413052
7,70.09899999999993,3.0,36.77718770216772,25.62439631365402
8,70.09899999999993,0.0,0.0,0.0
9,82.93400000000008,3.0,31.909858222854865,28.355381355274222
10,76.06499999999994,3.0,20.598389493841598,27.022273717907535
11,83.89799999999991,5.0,30.973477427128373,28.584774385833725
12,83.90499999999997,5.0,30.970893381576953,28.584774385833725
PROMEDIO,76.86376923076921,3.076923076923077,27.870023048372396,22.813193701100975
