,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,81.13199999999998,2.0,39.11719539429624,27.214922325330022
1,75.934,4.0,41.649949890670435,26.511038590711347
2,89.66499999999996,2.0,34.106621040008584,27.5916276088925
3,103.5,6.0,72.51710131548452,27.05922557164995
4,75.46600000000001,3.0,32.0307677642561,26.18936446294068
5,88.53700000000003,2.0,37.13089432267144,27.595756268434915
6,79.66099999999994,2.0,21.698865429474363,27.18939786389244
7,104.86599999999999,5.0,61.22573173710218,27.517897468210762
8,81.832,1.0,20.371024204682648,27.694523339597577
9,78.399,1.0,28.013668795760445,26.357195865312523
10,78.827,1.0,27.86156545243157,26.35953089111719
PROMEDIO,85.25627272727272,2.6363636363636362,37.793035031530785,27.025498205099083
