,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,88.731,3.0,31.63399110426854,27.956142129999346
1,92.20600000000002,3.0,28.83470278485639,27.89203284946027
2,83.09300000000002,2.0,17.880798914070617,28.046646282111368
3,93.63100000000009,3.0,28.13159943930689,28.084263129367198
4,83.332,2.0,16.95155382144928,27.752711033811334
5,92.36599999999999,2.0,26.56876982785195,28.0575912283783
6,83.39999999999998,2.0,20.948174760210147,27.518899384702703
7,91.86500000000001,3.0,23.872035969220473,28.31565037079925
8,84.46500000000003,2.0,18.427571119596266,28.16124819540424
9,101.23199999999997,3.0,27.28711824875337,28.00443442940455
10,125.44800000000009,3.0,22.019717767981938,28.271950502200493
PROMEDIO,92.70627272727275,2.5454545454545454,23.868730341596894,28.005597230512645
