,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,86.27200000000002,3.0,36.938967686201764,26.45967492797701
1,83.19400000000002,2.0,26.836153847450706,25.91858130072856
2,82.23299999999995,3.0,29.18178405776565,26.545705736976533
3,93.22200000000004,4.0,44.57222574201312,25.870785093222953
4,74.20100000000002,1.0,20.842027092887367,24.20323730609535
5,78.16399999999999,2.0,37.104576760515535,25.350695830276372
6,79.87199999999996,5.0,53.27103904281292,25.20699769221745
7,75.995,1.0,42.882230111004226,24.98426420811125
8,80.78899999999999,3.0,28.648354508460727,27.03506654878774
9,96.231,4.0,40.135510853706954,27.471704566653123
10,96.80600000000004,4.0,39.89711737870661,27.47411122163466
PROMEDIO,84.27081818181819,2.909090909090909,36.39181700741142,26.04734767569827
