,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,119.75676012039185,2.0,18.424632580081852,26.70256618045086
1,119.77133703231812,0.0,0.0,0.0
2,151.67346858978271,0.0,5.092376904773436,29.135371755954367
3,151.6813304424286,0.0,0.0,0.0
4,124.54289531707764,2.0,21.40394537853577,26.43148639978511
5,164.47737336158752,1.0,12.60270758567683,29.324166209913315
6,164.4871335029602,0.0,0.0,0.0
7,107.783047914505,1.0,11.073836754239041,24.522843366609333
PROMEDIO,138.02166828513145,0.75,8.574687400413367,17.014554239089122
