,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,89.7025339603424,0,0,23.583788964189
1,94.1969420909882,0,0,24.2745073834425
2,91.1089413166046,0,0,23.7379071895702
3,94.6961147785187,0,0,24.3307977362677
4,91.1396036148071,0,0,23.7491764859238
5,94.847265958786,0,0,24.2875678295285
6,91.5235624313354,0,0,23.7288212219894
7,95.3209722042084,0,0,24.4718816850392
8,91.7756927013397,0,0,23.7330596327901
9,95.3839132785797,0,0,24.374245815211
PROMEDIO,92.969554233551,0,0,24.0271753943951
