,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,102.03776144981384,0.0,0.0,25.731508445905853
1,97.23767161369324,0.0,0.0,24.721750275646983
2,96.50226020812988,0.0,0.0,24.60656993131063
3,97.0527606010437,0.0,0.0,24.55555309191704
4,97.19043779373169,0.0,0.0,24.72529727580688
5,98.0271646976471,0.0,0.0,24.654139045748643
6,97.23327946662903,0.0,0.0,24.76685123144038
PROMEDIO,97.89733369009835,0.0,0.0,24.823095613968057
