#{"t_start": 1689531136.1129184, "env_id": null}
r,l,t
100.699998,79,416.858969
99.999998,36,417.493719
103.199999,80,418.883303
102.699999,63,419.962884
103.199999,86,421.459154
102.099999,33,422.041715
104.699999,113,423.979846
100.999998,106,425.796896
-17.9,36,426.428475
101.399998,92,428.02842
-16.3,64,429.125906
101.699998,101,430.870275
100.699998,10,431.070939
102.699999,144,433.550383
101.299998,31,434.131969
-18.8,21,434.515694
101.999999,35,435.128338
101.199998,21,435.509337
102.499999,85,436.988275
98.899998,115,438.959509
-17.4,68,440.129449
-18.2,24,440.587168
103.399999,109,442.430335
106.899999,114,444.414374
107.299999,115,446.38409
-22.200001,32,446.948462
102.999999,72,448.212075
-21.300001,14,448.482823
103.099999,52,449.37905
105.599999,101,451.14179
-18.7,25,451.59235
103.999999,61,452.671351
102.799999,133,454.947851
101.899999,100,456.678812
-16.9,67,457.827134
103.399999,67,459.009141
101.899999,31,459.556053
103.499999,149,462.099873
102.499999,70,463.331878
102.599999,47,464.147544
102.999999,87,465.66151
101.599998,31,466.209523
100.699998,28,466.704778
-20.0,75,468.031371
103.399999,64,469.128468
106.999999,127,471.298297
103.199999,92,472.891272
102.699999,75,474.199344
102.899999,113,476.129941
105.699999,147,478.646457
-21.000001,8,478.815226
102.199999,79,480.160403
-20.4,122,482.254783
102.699999,78,483.617694
103.199999,128,485.812448
102.999999,57,486.797493
-16.200001,53,487.740801
-18.5,24,488.178406
103.199999,59,489.192417
103.700003,79,490.572647
-17.000001,54,491.504576
-19.800001,23,491.951341
-19.8,65,493.065249
-17.3,60,494.12693
100.099998,16,494.426904
103.699999,52,495.323205
-18.2,48,496.179846
101.199998,24,496.616047
101.599998,43,497.354527
100.699998,40,498.048181
101.499998,39,498.764142
101.599998,31,499.314652
102.599999,62,500.372139
102.899999,92,501.959432
-20.500001,4,502.061948
100.299998,30,502.591942
100.699998,73,503.874271
100.399998,19,504.220016
101.199998,51,505.13326
102.299999,137,507.461523
101.299998,118,509.494812
100.900003,72,510.729235
-18.1,52,511.627987
101.899999,79,513.011592
103.299999,66,514.193326
100.799998,77,515.506869
103.999999,103,517.283927
-16.4,69,518.497268
-19.7,36,519.129374
104.099999,77,520.448057
101.599998,58,521.478503
104.500003,102,523.23294
105.599999,137,525.572449
98.799998,42,526.291391
100.999998,28,526.788586
-21.200001,18,527.118094
98.799998,120,529.203101
104.499999,132,531.465293
102.399999,63,532.572853
101.600003,22,532.970813
100.199998,83,534.416493
100.299998,21,534.802229
104.299999,55,535.737996
105.899999,140,538.15189
-20.600001,3,538.235981
99.999998,69,539.44587
101.599998,76,540.777183
102.299999,71,541.990959
103.099999,40,542.693335
-18.3,32,543.295782
102.399999,30,543.825476
102.199999,64,544.922884
100.999998,49,545.807662
101.499998,45,546.591769
100.999998,37,547.237461
102.499999,127,549.414649
104.599999,61,550.496147
101.900003,61,551.538018
102.599999,77,552.884387
103.299999,114,554.863584
102.799999,79,556.235593
101.699998,26,556.702225
-19.1,54,557.61841
103.799999,53,558.561305
104.799999,126,560.712112
102.499999,139,563.117571
102.499999,58,564.120583
101.899999,82,565.551934
104.599999,85,567.004582
104.499999,90,568.563589
103.899999,132,570.826899
101.499998,21,571.212305
101.099998,71,572.477529
-17.2,64,573.571584
104.199999,63,574.710303
101.199998,54,575.63257
100.799998,26,576.103567
-16.7,45,576.918219
102.599999,71,578.136731
-19.3,7,578.287
-18.9,14,578.583326
101.999999,20,578.93121
-17.9,30,579.468956
102.499999,40,580.162105
101.399998,80,581.560349
101.899999,34,582.152595
101.699998,125,584.296423
102.199999,52,585.182118
103.099999,58,586.213836
100.099998,106,588.03183
103.799999,122,590.12709
106.499999,107,591.967449
104.599999,112,593.850631
102.699999,36,594.535304
101.199998,24,594.967221
-14.6,96,596.611853
101.799998,30,597.143526
103.300003,66,598.272285
106.099999,100,600.002566
-19.000001,22,600.405409
-16.5,62,601.50015
100.299998,51,602.382803
101.999999,53,603.331383
104.199999,84,604.745635
-16.8,80,606.14353
101.999999,26,606.608557
-18.7,34,607.207252
99.799998,82,608.637381
-17.4,62,609.73477
104.699999,107,611.542882
-14.600001,108,613.402115
-18.7,16,613.709313
102.599999,50,614.599103
103.999999,94,616.183523
100.299998,9,616.398494
100.499998,17,616.71149
-18.2,42,617.446906
101.999999,47,618.260745
103.699999,67,619.436316
103.400003,94,621.068184
103.699999,106,622.851198
102.699999,75,624.168257
-18.8,84,625.630758
99.999998,24,626.062027
103.499999,101,627.81362
103.099999,133,630.079855
106.899999,93,631.656306
3.9,201,635.102571
-18.9,14,635.373177
99.999998,60,636.43148
101.799998,81,637.803854
-17.9,90,639.362231
100.699998,46,640.158652
99.799998,97,641.835683
103.899999,78,643.214913
101.399998,44,643.978326
102.099999,99,645.678097
102.299999,68,646.842578
-19.2,38,647.539206
99.899998,110,649.402075
101.799998,138,651.798846
103.199999,68,652.954532
101.699998,56,653.918205
100.699998,16,654.250562
100.199998,44,655.016395
