#{"t_start": 1689378241.868581, "env_id": null}
r,l,t
-99.000002,22,209.007071
102.899999,29,209.540894
104.199999,60,210.681984
103.299999,36,211.310331
101.299998,31,211.906165
100.899998,21,212.358106
103.499999,35,213.066052
102.299999,32,213.707421
103.599999,60,214.838943
103.500003,56,215.851351
104.699999,68,217.110332
101.999999,44,217.949567
101.699998,23,218.446994
105.299999,65,219.621118
104.699999,68,220.888746
102.499999,34,221.597544
106.599999,96,223.399293
105.699999,78,224.909311
101.299998,22,225.394892
102.899999,32,225.994843
103.599999,57,227.059802
-98.500002,45,228.00487
102.799999,28,228.558848
102.699999,54,229.527763
-96.800001,50,230.529274
103.799999,38,231.334518
106.699999,94,233.085088
104.799999,69,234.390846
-98.100001,40,235.233616
103.099999,46,236.102808
102.499999,46,236.954208
101.799998,18,237.313283
103.399999,46,238.16933
103.399999,52,239.214489
101.799998,39,240.051745
104.099999,44,240.910142
103.399999,61,242.006775
105.699999,75,243.344886
104.299999,73,244.695879
100.599998,18,245.04928
105.399999,54,246.077983
102.699999,48,246.968393
100.399998,31,247.547977
102.299999,38,248.272748
103.399999,37,249.030628
106.599999,93,250.721357
102.599999,47,251.624697
-96.700001,33,252.204743
99.599998,20,252.57639
104.699999,65,253.795234
103.399999,46,254.646801
103.999999,43,255.422576
103.999999,43,256.197566
103.199999,50,257.163283
103.099999,37,257.821407
104.699999,68,259.111132
99.799998,7,259.271693
103.499999,62,260.413915
-100.600002,15,260.754038
102.299999,26,261.221849
100.499998,5,261.354819
101.199998,12,261.647675
99.199998,19,262.036821
104.399999,50,262.908733
103.599999,51,263.92354
-101.000002,17,264.263838
102.699999,36,264.954976
-101.500002,18,265.326327
103.599999,36,266.056364
104.699999,71,267.338048
101.199998,24,267.824169
99.699998,18,268.222171
105.399999,54,269.17128
100.599998,30,269.748116
105.099999,51,270.633761
101.699998,26,271.166262
100.599998,15,271.487189
100.799998,8,271.698641
107.199999,75,272.981705
100.899998,27,273.488016
-97.100001,35,274.179587
101.499998,24,274.630236
102.199999,37,275.305703
103.699999,58,276.3504
104.099999,65,277.520635
100.799998,8,277.698803
104.799999,75,279.145079
101.999999,38,279.952806
104.899999,49,280.833106
102.199999,28,281.349612
105.299999,68,282.656492
100.199998,23,283.105171
102.799999,34,283.830954
103.499999,47,284.766721
103.599999,48,285.687204
101.099998,29,286.236666
103.299999,33,286.911604
105.699999,84,288.424368
101.199998,27,289.038412
103.599999,36,289.712592
99.399998,24,290.21939
105.699999,60,291.413947
104.699999,71,292.760649
104.099999,53,293.775672
102.299999,41,294.582247
103.299999,54,295.56531
102.099999,39,296.358877
98.499998,9,296.583762
101.299998,37,297.276099
102.799999,34,297.986354
-97.300001,60,299.083738
100.599998,33,299.713797
104.799999,60,300.83924
101.699998,32,301.500544
102.599999,29,302.083544
99.899998,17,302.426009
103.799999,50,303.328791
101.299998,19,303.71773
102.299999,41,304.459252
102.499999,28,305.02631
102.299999,41,305.82791
105.099999,69,307.199188
102.799999,37,307.924012
104.299999,67,309.125499
102.199999,22,309.579717
101.899999,43,310.353362
101.499998,30,310.915632
104.599999,64,312.090104
101.299998,28,312.637616
-96.700001,33,313.249488
101.399998,29,313.862783
101.599998,16,314.185466
-100.100002,14,314.485505
102.099999,30,315.045966
105.499999,73,316.397701
100.099998,16,316.753204
104.999999,50,317.699163
101.299998,13,317.98762
-99.000002,10,318.200657
104.099999,65,319.426212
105.999999,75,320.749535
102.899999,53,321.745882
100.799998,8,321.938717
102.399999,24,322.378325
102.099999,42,323.103333
100.799998,23,323.616746
104.599999,61,324.727847
100.999998,25,325.227574
102.699999,27,325.772974
106.099999,79,327.274211
103.599999,66,328.468329
100.199998,35,329.159058
100.099998,13,329.421101
103.599999,36,330.11087
100.699998,19,330.463905
-98.900002,23,330.933972
101.699998,32,331.529472
99.899998,5,331.659541
102.899999,47,332.515156
100.499998,5,332.675602
103.999999,58,333.768778
103.799999,47,334.642548
101.099998,11,334.882531
101.499998,30,335.445818
-98.200002,39,336.198727
103.299999,51,337.150918
-94.400001,95,338.831984
101.199998,24,339.285943
104.199999,63,340.432807
-98.200002,39,341.229161
101.699998,35,341.874227
-100.100002,11,342.151289
103.599999,48,343.095476
101.399998,35,343.806587
105.399999,57,344.86568
100.699998,13,345.13922
103.699999,64,346.288944
-98.700002,37,347.064605
98.999998,8,347.277065
102.999999,51,348.212462
106.099999,82,349.648224
102.899999,50,350.597258
102.599999,26,351.078463
102.799999,52,352.073586
102.799999,43,352.852361
-100.400002,14,353.129896
103.299999,36,353.758479
104.099999,59,354.931351
105.299999,74,356.349503
103.399999,49,357.346738
101.599998,40,358.107761
100.999998,19,358.529341
105.599999,77,359.978385
102.599999,44,360.849511
100.899998,9,361.059999
-99.800002,11,361.318848
103.899999,60,362.447172
104.099999,74,363.779764
-99.800002,26,364.285959
101.099998,20,364.73787
100.999998,31,365.38602
101.099998,44,366.276145
102.099999,39,367.035956
-100.400002,8,367.282086
103.399999,34,367.96125
104.899999,67,369.24918
101.499998,42,370.04206
101.799998,24,370.495167
102.399999,24,371.011601
105.799999,73,372.364705
100.199998,20,372.753882
103.699999,46,373.5591
106.699999,85,375.103878
102.999999,54,376.101423
-101.099997,7,376.279799
101.099998,32,376.841521
104.499999,69,378.130641
-99.300002,34,378.809274
102.299999,35,379.546849
101.899999,25,379.998556
100.599998,39,380.750785
104.999999,62,381.9761
-98.900002,35,382.654418
103.699999,37,383.375232
102.999999,54,384.361809
103.699999,43,385.212541
99.499998,7,385.376869
104.299999,64,386.54779
-98.000001,32,387.162307
101.599998,31,387.805539
100.299998,21,388.254022
99.099998,9,388.445528
105.199999,76,389.797696
103.299999,57,390.86378
103.199999,59,392.043252
100.999998,28,392.542032
103.399999,34,393.248248
99.999998,24,393.715697
102.399999,30,394.277018
-99.800002,23,394.826402
103.299999,33,395.517746
103.299999,42,396.352493
101.599998,37,397.078315
-96.900001,34,397.744468
101.199998,30,398.357068
103.399999,52,399.259242
106.399999,76,400.66133
106.299999,81,402.206347
100.699998,28,402.736986
98.799998,9,402.978456
102.399999,24,403.448315
101.299998,13,403.722569
102.199999,31,404.323783
102.999999,42,405.232791
103.699999,43,406.120856
-100.800002,10,406.396848
102.999999,39,407.106749
99.499998,22,407.561266
99.699998,18,407.946304
103.699999,58,409.042019
100.299998,3,409.138192
99.799998,19,409.496346
102.099999,21,409.940793
103.699999,37,410.615356
102.399999,36,411.369835
102.699999,54,412.464563
104.899999,61,413.669357
100.799998,14,413.959369
106.099999,67,415.178422
102.299999,47,416.132343
103.199999,47,417.032478
101.799998,36,417.728372
105.499999,73,419.090893
105.399999,69,420.265063
104.699999,71,421.502694
100.299998,24,421.990026
99.299998,8,422.187909
106.499999,86,423.735768
102.699999,45,424.607841
105.699999,60,425.64563
100.399998,25,426.127189
101.599998,25,426.578203
105.299999,71,427.913285
101.499998,36,428.671238
101.199998,24,429.15269
101.399998,32,429.747574
105.999999,72,431.111069
101.499998,33,431.725858
104.399999,47,432.662909
-101.400002,16,433.036326
101.399998,38,433.805729
101.999999,29,434.401637
99.799998,16,434.724923
103.099999,40,435.549672
102.799999,49,436.432399
106.999999,85,437.910084
99.899998,20,438.330006
103.899999,42,439.134474
104.199999,51,440.086969
100.099998,19,440.478583
-98.400002,16,440.783445
104.199999,60,441.86162
106.399999,88,443.406052
101.699998,32,443.970314
105.399999,72,445.382954
104.099999,65,446.644165
102.799999,61,447.768833
102.999999,45,448.557026
102.399999,39,449.266062
100.999998,28,449.817704
101.099998,26,450.313273
100.199998,2,450.397768
102.499999,25,450.864693
103.999999,55,451.859966
103.099999,37,452.524234
106.099999,61,453.681257
105.299999,71,454.88823
99.799998,19,455.276182
103.699999,40,456.00325
102.599999,35,456.634318
103.799999,44,457.518442
103.599999,36,458.229714
100.299998,3,458.327882
102.399999,42,459.14935
104.099999,44,459.954967
101.299998,28,460.457807
101.899999,19,460.845029
102.399999,33,461.536481
107.299999,94,463.354126
104.899999,88,464.979179
102.199999,52,465.927324
102.099999,45,466.748099
105.099999,69,467.972287
100.299998,21,468.389817
104.599999,70,469.662191
101.199998,24,470.128714
101.499998,27,470.645355
104.399999,71,471.919653
100.099998,25,472.405738
101.099998,32,473.047319
-96.400001,63,474.126164
101.399998,23,474.551256
104.499999,57,475.63993
100.799998,32,476.251177
100.499998,8,476.431403
101.999999,29,476.973357
102.199999,40,477.778578
103.699999,46,478.566962
-100.400002,20,478.9554
102.899999,44,479.750596
100.399998,25,480.236309
104.399999,47,481.08745
-98.500002,27,481.618571
99.899998,14,481.900575
101.099998,29,482.447599
102.399999,39,483.207247
102.299999,47,484.05672
104.299999,43,484.928161
103.999999,61,486.0849
102.699999,42,486.907508
103.899999,60,488.050684
104.999999,74,489.488777
102.399999,33,490.087099
106.199999,74,491.395823
104.299999,58,492.434737
106.799999,98,494.108204
104.899999,79,495.527974
105.899999,83,496.966449
101.899999,37,497.678438
102.999999,42,498.400928
105.199999,70,499.691034
103.499999,59,500.735919
101.999999,35,501.379277
100.499998,17,501.718346
103.699999,55,502.714754
103.099999,55,503.730268
102.499999,37,504.423004
102.399999,48,505.307455
106.499999,83,506.727867
104.899999,67,507.918346
106.599999,78,509.320294
103.699999,64,510.542835
101.999999,53,511.523047
100.299998,33,512.134693
102.299999,41,512.841631
100.699998,34,513.453477
101.299998,16,513.774684
-97.000001,33,514.415933
104.099999,50,515.317807
103.699999,55,516.330999
100.999998,37,517.005385
103.199999,44,517.792411
104.499999,54,518.857036
103.499999,59,520.010823
-96.600001,67,521.21801
102.499999,34,521.846367
104.799999,69,523.070282
101.899999,31,523.652119
100.399998,25,524.119949
100.399998,4,524.236059
105.199999,76,525.570069
102.399999,45,526.375328
100.399998,7,526.584015
102.999999,45,527.468921
103.199999,53,528.423332
103.399999,55,529.387851
103.399999,58,530.385123
103.999999,67,531.548069
102.699999,51,532.575456
100.199998,20,532.979934
-100.100002,20,533.384503
102.199999,22,533.807137
102.399999,30,534.353624
101.099998,29,534.869879
103.099999,49,535.773312
101.099998,11,536.012891
101.999999,41,536.786702
100.499998,35,537.447585
103.499999,35,538.070142
102.399999,30,538.631953
101.299998,28,539.147883
100.699998,7,539.312104
104.099999,47,540.163793
103.799999,53,541.111252
-94.100001,83,542.543473
101.299998,13,542.816611
100.999998,31,543.43081
103.199999,32,544.026984
100.999998,31,544.603714
-98.500002,36,545.234426
102.999999,45,546.117047
-96.000001,70,547.402088
103.199999,47,548.257095
-98.900002,32,548.88867
102.599999,35,549.529448
100.799998,29,550.082351
101.099998,29,550.618147
100.599998,27,551.117438
101.499998,39,551.7959
103.199999,53,552.744614
104.599999,61,553.84174
103.099999,37,554.571169
102.399999,30,555.166408
104.099999,41,555.938009
103.599999,63,557.049299
102.999999,57,558.061881
102.999999,57,559.108341
102.799999,43,559.969469
103.199999,50,560.872346
102.799999,58,561.893203
101.799998,36,562.554341
103.799999,38,563.325505
103.899999,57,564.340308
100.999998,31,564.93672
104.099999,65,566.143535
101.199998,27,566.628709
102.499999,31,567.190248
-99.400002,9,567.384119
102.499999,31,567.979033
106.099999,79,569.415364
101.899999,34,570.013148
103.199999,35,570.70396
103.799999,50,571.587975
103.899999,48,572.440723
102.299999,53,573.419283
-94.800001,64,574.527838
101.899999,40,575.236338
99.999998,15,575.533038
105.299999,56,576.483308
99.199998,10,576.692043
107.999999,83,578.269042
101.199998,33,578.929076
100.899998,39,579.652872
106.699999,88,581.247277
104.299999,58,582.281122
101.799998,42,583.070023
105.799999,67,584.233148
106.099999,82,585.632136
-98.800002,27,586.180239
-99.300002,19,586.587712
101.099998,11,586.84752
-100.000002,15,587.136467
102.399999,30,587.753787
101.699998,23,588.206641
-99.900002,10,588.435333
-99.700002,27,588.967735
-97.900001,39,589.756822
-99.800002,23,590.235596
101.699998,26,590.736598
-99.600002,28,591.303803
104.099999,44,592.09367
99.999998,27,592.618108
101.299998,19,592.999049
104.699999,56,594.080304
102.499999,40,594.819648
103.499999,44,595.648248
104.099999,56,596.663764
103.199999,50,597.563501
103.499999,56,598.563116
100.599998,24,598.997394
101.899999,31,599.57623
100.799998,14,599.898968
-98.800002,33,600.511845
104.699999,50,601.411648
101.499998,36,602.089435
102.699999,30,602.638076
104.399999,62,603.746334
104.399999,77,605.184693
102.899999,50,606.071801
101.899999,34,606.703637
101.999999,41,607.425162
104.899999,52,608.390499
101.799998,18,608.778686
102.299999,47,609.614716
98.799998,21,610.05263
104.799999,48,610.942852
101.599998,16,611.249183
104.899999,70,612.492036
100.699998,22,612.961602
104.999999,56,613.982584
105.599999,86,615.489828
-100.400002,14,615.767962
100.299998,18,616.167111
102.799999,46,617.020311
101.799998,30,617.556671
102.799999,55,618.585059
102.899999,53,619.504858
103.299999,63,620.606084
103.999999,55,621.635736
103.999999,58,622.652258
100.599998,27,623.135568
101.499998,42,623.858863
104.699999,68,625.036897
101.599998,22,625.474931
104.899999,55,626.438601
100.699998,40,627.166863
101.699998,17,627.520011
103.099999,46,628.425141
100.399998,28,628.92529
99.899998,14,629.231839
105.599999,62,630.44218
104.399999,65,631.589813
100.199998,2,631.671344
106.299999,75,633.039773
102.599999,50,633.930634
103.099999,43,634.735339
104.899999,70,635.942409
